"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção"
"Brasil e Unidade da Federação";"Mês x Produto das lavouras"
"Brasil e Unidade da Federação";"janeiro 2023";;;;;;;;;;;;;;;;;;;;;;;;"fevereiro 2023";;;;;;;;;;;;;;;;;;;;;;;;"março 2023";;;;;;;;;;;;;;;;;;;;;;;;"abril 2023";;;;;;;;;;;;;;;;;;;;;;;;"maio 2023";;;;;;;;;;;;;;;;;;;;;;;;"junho 2023";;;;;;;;;;;;;;;;;;;;;;;;"julho 2023";;;;;;;;;;;;;;;;;;;;;;;;"agosto 2023";;;;;;;;;;;;;;;;;;;;;;;;"setembro 2023";;;;;;;;;;;;;;;;;;;;;;;;"outubro 2023";;;;;;;;;;;;;;;;;;;;;;;;"novembro 2023";;;;;;;;;;;;;;;;;;;;;;;;"dezembro 2023"
"Brasil e Unidade da Federação";"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1 Cereais, leguminosas e oleaginosas";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca"
"Brasil";"301953765";"Toneladas";"6830977";"Toneladas";"10276502";"Toneladas";"29447903";"Toneladas";"93097660";"Toneladas";"147545847";"Toneladas";"8678163";"Toneladas";"7070114";"Toneladas";"2314467";"Toneladas";"636003952";"Toneladas";"16939382";"Toneladas";"18476198";"Toneladas";"298029264";"Toneladas";"6831981";"Toneladas";"10023758";"Toneladas";"28714561";"Toneladas";"92724073";"Toneladas";"145021020";"Toneladas";"8657201";"Toneladas";"7072280";"Toneladas";"2314439";"Toneladas";"634041314";"Toneladas";"16953108";"Toneladas";"18546431";"Toneladas";"299651793";"Toneladas";"6928970";"Toneladas";"9846309";"Toneladas";"27896668";"Toneladas";"91895431";"Toneladas";"147240376";"Toneladas";"9778501";"Toneladas";"7071234";"Toneladas";"2308524";"Toneladas";"632398881";"Toneladas";"16936074";"Toneladas";"18556779";"Toneladas";"302122007";"Toneladas";"6928138";"Toneladas";"9859603";"Toneladas";"27921650";"Toneladas";"91936309";"Toneladas";"149063781";"Toneladas";"9867138";"Toneladas";"7083614";"Toneladas";"2299619";"Toneladas";"666504127";"Toneladas";"16808446";"Toneladas";"18586010";"Toneladas";"305392064";"Toneladas";"6937536";"Toneladas";"10065640";"Toneladas";"27899837";"Toneladas";"94904709";"Toneladas";"148195791";"Toneladas";"10590852";"Toneladas";"7024280";"Toneladas";"2308439";"Toneladas";"666706169";"Toneladas";"16753884";"Toneladas";"18403101";"Toneladas";"307305876";"Toneladas";"6930751";"Toneladas";"10020843";"Toneladas";"28117912";"Toneladas";"96336896";"Toneladas";"148376257";"Toneladas";"10624720";"Toneladas";"7033297";"Toneladas";"2306441";"Toneladas";"666166727";"Toneladas";"16761356";"Toneladas";"18452547";"Toneladas";"308872805";"Toneladas";"7427984";"Toneladas";"10040425";"Toneladas";"28103663";"Toneladas";"97104438";"Toneladas";"148764490";"Toneladas";"10750952";"Toneladas";"7115545";"Toneladas";"2306141";"Toneladas";"668497864";"Toneladas";"16806154";"Toneladas";"18589406";"Toneladas";"313266848";"Toneladas";"7413637";"Toneladas";"10070835";"Toneladas";"28196512";"Toneladas";"99572340";"Toneladas";"150328350";"Toneladas";"10868919";"Toneladas";"7067815";"Toneladas";"2300063";"Toneladas";"679548145";"Toneladas";"16841370";"Toneladas";"18437120";"Toneladas";"318097619";"Toneladas";"7569546";"Toneladas";"10111086";"Toneladas";"27996535";"Toneladas";"103751870";"Toneladas";"151216632";"Toneladas";"10521792";"Toneladas";"7067260";"Toneladas";"2332739";"Toneladas";"700425597";"Toneladas";"15516754";"Toneladas";"18670040";"Toneladas";"317294390";"Toneladas";"7583117";"Toneladas";"10235589";"Toneladas";"27984185";"Toneladas";"103692638";"Toneladas";"151818091";"Toneladas";"9167698";"Toneladas";"7015532";"Toneladas";"2333359";"Toneladas";"707722827";"Toneladas";"15496075";"Toneladas";"18961879";"Toneladas";"316299086";"Toneladas";"7711008";"Toneladas";"10239181";"Toneladas";"27756888";"Toneladas";"103276918";"Toneladas";"151669302";"Toneladas";"8906511";"Toneladas";"6950116";"Toneladas";"2334436";"Toneladas";"710131586";"Toneladas";"15479235";"Toneladas";"19118996";"Toneladas";"315386300";"Toneladas";"7733764";"Toneladas";"10282517";"Toneladas";"27738515";"Toneladas";"103346496";"Toneladas";"151963045";"Toneladas";"7753911";"Toneladas";"6862774";"Toneladas";"2367777";"Toneladas";"713293700";"Toneladas";"15482662";"Toneladas";"19133751";"Toneladas"
"Rondônia";"3639782";"Toneladas";"-";"Toneladas";"105561";"Toneladas";"89968";"Toneladas";"1561471";"Toneladas";"1880250";"Toneladas";"-";"Toneladas";"82177";"Toneladas";"-";"Toneladas";"19179";"Toneladas";"5674";"Toneladas";"411499";"Toneladas";"3639782";"Toneladas";"-";"Toneladas";"105561";"Toneladas";"89968";"Toneladas";"1561471";"Toneladas";"1880250";"Toneladas";"-";"Toneladas";"82177";"Toneladas";"-";"Toneladas";"19179";"Toneladas";"5674";"Toneladas";"411499";"Toneladas";"3877292";"Toneladas";"-";"Toneladas";"105561";"Toneladas";"83798";"Toneladas";"1616641";"Toneladas";"2068596";"Toneladas";"-";"Toneladas";"82531";"Toneladas";"-";"Toneladas";"18923";"Toneladas";"4953";"Toneladas";"409930";"Toneladas";"3735366";"Toneladas";"-";"Toneladas";"109548";"Toneladas";"51078";"Toneladas";"1456667";"Toneladas";"2115546";"Toneladas";"-";"Toneladas";"82168";"Toneladas";"-";"Toneladas";"18833";"Toneladas";"4907";"Toneladas";"412282";"Toneladas";"3974088";"Toneladas";"-";"Toneladas";"110503";"Toneladas";"75282";"Toneladas";"1646457";"Toneladas";"2139234";"Toneladas";"-";"Toneladas";"84449";"Toneladas";"-";"Toneladas";"22500";"Toneladas";"4907";"Toneladas";"412282";"Toneladas";"4001108";"Toneladas";"-";"Toneladas";"109687";"Toneladas";"74318";"Toneladas";"1646457";"Toneladas";"2168004";"Toneladas";"-";"Toneladas";"84203";"Toneladas";"-";"Toneladas";"19139";"Toneladas";"4860";"Toneladas";"406953";"Toneladas";"3965916";"Toneladas";"-";"Toneladas";"109687";"Toneladas";"74318";"Toneladas";"1646457";"Toneladas";"2132815";"Toneladas";"-";"Toneladas";"84203";"Toneladas";"-";"Toneladas";"19139";"Toneladas";"4860";"Toneladas";"405629";"Toneladas";"3963075";"Toneladas";"-";"Toneladas";"109549";"Toneladas";"76507";"Toneladas";"1639835";"Toneladas";"2134543";"Toneladas";"-";"Toneladas";"78980";"Toneladas";"-";"Toneladas";"19139";"Toneladas";"4739";"Toneladas";"406419";"Toneladas";"3946989";"Toneladas";"-";"Toneladas";"108901";"Toneladas";"82927";"Toneladas";"1622259";"Toneladas";"2130167";"Toneladas";"-";"Toneladas";"82970";"Toneladas";"-";"Toneladas";"18712";"Toneladas";"2660";"Toneladas";"379800";"Toneladas";"3947709";"Toneladas";"-";"Toneladas";"108901";"Toneladas";"82927";"Toneladas";"1622259";"Toneladas";"2130887";"Toneladas";"-";"Toneladas";"82970";"Toneladas";"-";"Toneladas";"18712";"Toneladas";"1348";"Toneladas";"379800";"Toneladas";"3938646";"Toneladas";"-";"Toneladas";"113204";"Toneladas";"82543";"Toneladas";"1616561";"Toneladas";"2123609";"Toneladas";"-";"Toneladas";"82970";"Toneladas";"-";"Toneladas";"18712";"Toneladas";"1160";"Toneladas";"375533";"Toneladas";"3951575";"Toneladas";"-";"Toneladas";"113220";"Toneladas";"82543";"Toneladas";"1621702";"Toneladas";"2131535";"Toneladas";"-";"Toneladas";"82970";"Toneladas";"-";"Toneladas";"18080";"Toneladas";"1160";"Toneladas";"375533";"Toneladas"
"Acre";"186191";"Toneladas";"-";"Toneladas";"4649";"Toneladas";"90841";"Toneladas";"49002";"Toneladas";"38700";"Toneladas";"-";"Toneladas";"91587";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"509350";"Toneladas";"186191";"Toneladas";"-";"Toneladas";"4649";"Toneladas";"90841";"Toneladas";"49002";"Toneladas";"38700";"Toneladas";"-";"Toneladas";"91587";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"509350";"Toneladas";"186191";"Toneladas";"-";"Toneladas";"4649";"Toneladas";"90841";"Toneladas";"49002";"Toneladas";"38700";"Toneladas";"-";"Toneladas";"91587";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"509350";"Toneladas";"186191";"Toneladas";"-";"Toneladas";"4649";"Toneladas";"90841";"Toneladas";"49002";"Toneladas";"38700";"Toneladas";"-";"Toneladas";"91587";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"509350";"Toneladas";"189934";"Toneladas";"-";"Toneladas";"4318";"Toneladas";"89756";"Toneladas";"49002";"Toneladas";"43843";"Toneladas";"-";"Toneladas";"91619";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"500785";"Toneladas";"189934";"Toneladas";"-";"Toneladas";"4318";"Toneladas";"89756";"Toneladas";"49002";"Toneladas";"43843";"Toneladas";"-";"Toneladas";"91619";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"500785";"Toneladas";"192535";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90035";"Toneladas";"49373";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"91619";"Toneladas";"-";"Toneladas";"12287";"Toneladas";"7067";"Toneladas";"500785";"Toneladas";"191974";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90035";"Toneladas";"48937";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"91821";"Toneladas";"-";"Toneladas";"12087";"Toneladas";"6008";"Toneladas";"500785";"Toneladas";"191974";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90035";"Toneladas";"48937";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"91821";"Toneladas";"-";"Toneladas";"12087";"Toneladas";"6008";"Toneladas";"500785";"Toneladas";"191974";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90035";"Toneladas";"48937";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"91821";"Toneladas";"-";"Toneladas";"12087";"Toneladas";"6008";"Toneladas";"500785";"Toneladas";"191974";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90035";"Toneladas";"48937";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"91821";"Toneladas";"-";"Toneladas";"12087";"Toneladas";"6008";"Toneladas";"500785";"Toneladas";"192426";"Toneladas";"-";"Toneladas";"4380";"Toneladas";"90371";"Toneladas";"48937";"Toneladas";"45732";"Toneladas";"-";"Toneladas";"90696";"Toneladas";"-";"Toneladas";"11919";"Toneladas";"5337";"Toneladas";"497670";"Toneladas"
"Amazonas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31153";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"1836";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"30138";"Toneladas";"-";"Toneladas";"1641";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"-";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"31306";"Toneladas";"-";"Toneladas";"2809";"Toneladas";"21681";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"145929";"Toneladas";"-";"Toneladas";"272043";"Toneladas";"77727";"Toneladas";"856922";"Toneladas";"11668";"Toneladas";"-";"Toneladas";"1783";"Toneladas";"8280";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"106000";"Toneladas";"-";"Toneladas";"65932";"Toneladas";"50400";"Toneladas";"974000";"Toneladas";"11668";"Toneladas";"-";"Toneladas";"1783";"Toneladas";"8280";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"106000";"Toneladas";"-";"Toneladas";"65932";"Toneladas";"50400";"Toneladas";"974000";"Toneladas";"11668";"Toneladas";"-";"Toneladas";"1783";"Toneladas";"8280";"Toneladas";"-";"Toneladas";"-";"Toneladas";"-";"Toneladas";"106000";"Toneladas";"-";"Toneladas";"65932";"Toneladas";"50400";"Toneladas";"974000";"Toneladas"
"Roraima";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"171972";"Toneladas";"8213";"Toneladas";"54713";"Toneladas";"14853";"Toneladas";"40424";"Toneladas";"53320";"Toneladas";"-";"Toneladas";"117512";"Toneladas";"-";"Toneladas";"3976";"Toneladas";"21901";"Toneladas";"178921";"Toneladas";"625890";"Toneladas";"-";"Toneladas";"73595";"Toneladas";"97390";"Toneladas";"-";"Toneladas";"453600";"Toneladas";"-";"Toneladas";"68690";"Toneladas";"-";"Toneladas";"3365";"Toneladas";"22331";"Toneladas";"74340";"Toneladas";"625890";"Toneladas";"-";"Toneladas";"73595";"Toneladas";"97390";"Toneladas";"-";"Toneladas";"453600";"Toneladas";"-";"Toneladas";"68690";"Toneladas";"-";"Toneladas";"3365";"Toneladas";"22331";"Toneladas";"74340";"Toneladas";"625890";"Toneladas";"-";"Toneladas";"73595";"Toneladas";"97390";"Toneladas";"-";"Toneladas";"453600";"Toneladas";"-";"Toneladas";"68690";"Toneladas";"-";"Toneladas";"3365";"Toneladas";"22331";"Toneladas";"74340";"Toneladas";"625890";"Toneladas";"-";"Toneladas";"73595";"Toneladas";"97390";"Toneladas";"-";"Toneladas";"453600";"Toneladas";"-";"Toneladas";"68690";"Toneladas";"-";"Toneladas";"3365";"Toneladas";"22331";"Toneladas";"74340";"Toneladas";"625890";"Toneladas";"-";"Toneladas";"73595";"Toneladas";"97390";"Toneladas";"-";"Toneladas";"453600";"Toneladas";"-";"Toneladas";"68690";"Toneladas";"-";"Toneladas";"3365";"Toneladas";"22331";"Toneladas";"74340";"Toneladas"
"Pará";"4153180";"Toneladas";"-";"Toneladas";"106023";"Toneladas";"547450";"Toneladas";"838835";"Toneladas";"2598235";"Toneladas";"-";"Toneladas";"466645";"Toneladas";"-";"Toneladas";"1240755";"Toneladas";"260601";"Toneladas";"4033691";"Toneladas";"4153180";"Toneladas";"-";"Toneladas";"106023";"Toneladas";"547450";"Toneladas";"838835";"Toneladas";"2598235";"Toneladas";"-";"Toneladas";"466645";"Toneladas";"-";"Toneladas";"1240755";"Toneladas";"260601";"Toneladas";"4033691";"Toneladas";"4153180";"Toneladas";"-";"Toneladas";"106023";"Toneladas";"547450";"Toneladas";"838835";"Toneladas";"2598235";"Toneladas";"-";"Toneladas";"466645";"Toneladas";"-";"Toneladas";"1240755";"Toneladas";"260601";"Toneladas";"4033691";"Toneladas";"4153180";"Toneladas";"-";"Toneladas";"106023";"Toneladas";"547450";"Toneladas";"838835";"Toneladas";"2598235";"Toneladas";"-";"Toneladas";"466645";"Toneladas";"-";"Toneladas";"1240755";"Toneladas";"260601";"Toneladas";"4033691";"Toneladas";"4153180";"Toneladas";"-";"Toneladas";"106023";"Toneladas";"547450";"Toneladas";"838835";"Toneladas";"2598235";"Toneladas";"-";"Toneladas";"466645";"Toneladas";"-";"Toneladas";"1240755";"Toneladas";"260601";"Toneladas";"4033691";"Toneladas";"4244372";"Toneladas";"-";"Toneladas";"104551";"Toneladas";"717054";"Toneladas";"838835";"Toneladas";"2497424";"Toneladas";"-";"Toneladas";"466266";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258663";"Toneladas";"4075292";"Toneladas";"4244372";"Toneladas";"-";"Toneladas";"104551";"Toneladas";"717054";"Toneladas";"838835";"Toneladas";"2497424";"Toneladas";"-";"Toneladas";"466266";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258663";"Toneladas";"4075292";"Toneladas";"4441308";"Toneladas";"-";"Toneladas";"94816";"Toneladas";"717597";"Toneladas";"936935";"Toneladas";"2605444";"Toneladas";"-";"Toneladas";"466054";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258483";"Toneladas";"4058418";"Toneladas";"4441189";"Toneladas";"-";"Toneladas";"94807";"Toneladas";"717567";"Toneladas";"936935";"Toneladas";"2605444";"Toneladas";"-";"Toneladas";"466194";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258483";"Toneladas";"4058418";"Toneladas";"4672843";"Toneladas";"-";"Toneladas";"94807";"Toneladas";"732557";"Toneladas";"836738";"Toneladas";"2922305";"Toneladas";"-";"Toneladas";"469566";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258341";"Toneladas";"4058418";"Toneladas";"4673494";"Toneladas";"-";"Toneladas";"94807";"Toneladas";"733248";"Toneladas";"836738";"Toneladas";"2922305";"Toneladas";"-";"Toneladas";"469595";"Toneladas";"-";"Toneladas";"1240561";"Toneladas";"258341";"Toneladas";"4065342";"Toneladas";"4866654";"Toneladas";"-";"Toneladas";"94601";"Toneladas";"733083";"Toneladas";"836738";"Toneladas";"3115907";"Toneladas";"-";"Toneladas";"465950";"Toneladas";"-";"Toneladas";"1240541";"Toneladas";"256935";"Toneladas";"4066187";"Toneladas"
